Period as of,Assets,Liabilities,Equity,Paid-up Capital,Revenue,Profit (Loss) from Other Activities,Net Profit,EPS (Baht),ROA (%),ROE (%),Net Profit Margin (%),Symbol
9M/2022 30 Sep 2022,10374.16,662.08,9712.08,6142.41,1288.19,-,544.90,0.46,8.49,7.33,42.30,DMT
Y/E 2018 31 Dec 2018,1899.52,697.6,1201.92,302.25,2789.01,40.05,150.68,0.25,9.9,13.01,5.4,III
Y/E 2019 31 Dec 2019,2225.66,946.7,1278.97,304.65,2724.36,104.13,164.51,0.27,9.36,13.26,6.04,III
Y/E 2020 31 Dec 2020,2405.95,1114.91,1291.04,304.65,1664.33,134.66,162.49,0.27,8.32,12.65,8.92,III
Y/E 2021 31 Dec 2021,2949.8,1204.75,1745.05,310.35,3012.94,229.24,377.34,0.62,17.45,24.86,12.52,III
9M/2022 30 Sep 2022,3124.06,1162.57,1961.48,320.42,2247.18,224.21,368.43,0.59,18.95,27.4,16.4,III
Y/E 2018 31 Dec 2018,6357.48,3189.91,3045.1,510.0,3283.94,35.2,252.13,0.25,6.51,8.28,7.75,JWD
Y/E 2019 31 Dec 2019,7818.93,4548.8,3149.96,510.0,3660.24,114.72,362.79,0.36,7.14,11.71,9.63,JWD
Y/E 2020 31 Dec 2020,9473.7,6222.08,3118.38,510.0,3922.44,116.94,289.97,0.28,5.76,9.25,7.18,JWD
Y/E 2021 31 Dec 2021,12604.88,8626.49,3737.74,510.0,5293.32,221.31,571.68,0.56,7.42,16.68,10.52,JWD
9M/2022 30 Sep 2022,13171.71,9073.43,3787.43,510.0,4387.35,252.69,391.49,0.38,7.3,15.65,9.04,JWD
Y/E 2019 31 Dec 2019,6014.21,3781.04,2233.16,120.00,19894.60,-,1328.55,5.54,27.87,59.49,6.68,KEX
Y/E 2020 31 Dec 2020,19318.24,8470.76,10847.47,870.00,19010.05,-,1405.03,1.11,14.57,21.48,7.39,KEX
Y/E 2021 31 Dec 2021,17045.55,7728.66,9298.91,871.29,18972.08,-,46.92,0.03,0.63,0.47,0.24,KEX
9M/2022 30 Sep 2022,13248.75,5885.52,7359.41,871.29,13056.84,-,-1898.09,-1.09,-20.40,-29.15,-14.65,KEX
Y/E 2018 31 Dec 2018,1196.95,129.09,1064.06,280.95,1067.64,1.73,6.19,0.0,2.47,0.57,0.65,KIAT
Y/E 2019 31 Dec 2019,1226.22,104.01,1118.45,280.95,955.19,-,110.10,0.04,11.41,10.09,11.64,KIAT
Y/E 2020 31 Dec 2020,1247.28,116.51,1127.10,280.95,811.45,-,157.00,0.05,15.80,13.98,19.48,KIAT
Y/E 2021 31 Dec 2021,1222.53,102.08,1115.89,309.04,770.55,-,78.68,0.03,8.31,7.02,10.33,KIAT
9M/2022 30 Sep 2022,1277.07,134.79,1135.07,309.04,684.11,-,80.99,0.03,10.63,9.27,11.89,KIAT
Y/E 2018 31 Dec 2018,688.66,73.26,615.40,60.00,290.56,-,91.85,15.31,16.62,14.74,31.61,KWC
Y/E 2019 31 Dec 2019,742.98,80.85,662.12,60.00,371.01,-,102.23,17.04,17.87,16.00,27.55,KWC
Y/E 2020 31 Dec 2020,825.05,135.49,689.56,60.00,392.72,-,83.15,13.86,13.37,12.30,21.17,KWC
Y/E 2021 31 Dec 2021,858.55,131.07,727.47,60.0,337.98,0.13,93.0,15.5,14.04,13.13,27.52,KWC
9M/2022 30 Sep 2022,835.35,98.35,737.0,60.0,233.75,0.08,66.67,11.11,13.13,12.33,28.52,KWC
Y/E 2020 31 Dec 2020,916.84,319.15,597.69,275.00,614.89,-,34.80,0.06,5.28,5.82,5.66,MENA
Y/E 2021 31 Dec 2021,1061.4,239.42,821.98,367.0,572.85,-0.42,32.52,0.05,4.71,4.58,5.68,MENA
9M/2022 30 Sep 2022,1162.92,331.45,831.47,367.00,516.44,-,31.51,0.04,5.44,5.36,6.10,MENA
Y/E 2017 31 Dec 2017,7330.15,6639.14,1315.02,2272.0,20376.71,-8.34,-1854.3,-1.63,-27.54,-238.66,-9.32,NOK
Y/E 2018 31 Dec 2018,14074.06,17105.69,-1467.55,2272.00,19740.23,-5.47,-2786.76,-1.23,-36.73,-,-20.14,NOK
Y/E 2019 31 Dec 2019,15170.96,18639.17,-1095.47,3108.52,19969.12,-1.41,-2051.39,-0.68,-20.31,-,-15.50,NOK
Y/E 2020 31 Dec 2020,17894.92,25897.08,-7000.52,3729.19,6735.39,-,-7991.25,-2.19,-51.58,-,-109.74,NOK
Y/E 2021 31 Dec 2021,12249.72,21651.34,-8399.91,3729.19,6355.61,-,-1435.53,-0.38,-9.52,-,-22.59,NOK
Y/E 2018 31 Dec 2018,-,-,-,-,1468.92,2.57,404.94,0.33,-,-,27.57,NYT
Y/E 2019 31 Dec 2019,4355.19,563.48,3791.71,620.0,1461.73,-35.8,376.51,0.3,11.1,9.93,25.76,NYT
Y/E 2020 31 Dec 2020,5693.47,2400.18,3253.7,620.0,1199.47,-55.46,228.57,0.18,6.94,6.49,18.96,NYT
Y/E 2021 31 Dec 2021,6655.09,3383.42,3248.34,620.0,1352.67,-7.95,242.64,0.2,6.11,7.46,15.02,NYT
9M/2022 30 Sep 2022,6565.36,3360.78,3209.31,620.0,1042.04,-5.59,159.37,0.13,5.27,6.89,12.31,NYT
Y/E 2018 31 Dec 2018,2810.35,1745.79,982.14,230.0,1579.26,-9.51,136.94,0.3,7.15,14.8,8.65,PORT
Y/E 2019 31 Dec 2019,2924.73,1438.4,1397.07,303.6,1558.91,-2.52,102.19,0.19,5.7,8.59,6.99,PORT
Y/E 2020 31 Dec 2020,3834.06,2329.45,1412.66,303.6,1359.94,-2.93,58.1,0.1,3.87,4.14,4.47,PORT
Y/E 2021 31 Dec 2021,3645.07,2135.33,1419.03,303.6,1606.7,-2.26,27.62,0.05,2.44,1.95,1.64,PORT
9M/2022 30 Sep 2022,3621.34,2139.04,1393.45,303.6,1558.74,-3.23,-10.32,-0.02,1.33,-0.7,-0.77,PORT
Y/E 2018 31 Dec 2018,10814.83,3844.35,6590.54,2500.0,4572.19,158.53,711.82,0.28,9.05,11.2,16.33,PRM
Y/E 2019 31 Dec 2019,13062.99,5783.15,6915.34,2500.0,5404.71,139.75,1023.39,0.41,12.21,15.15,20.77,PRM
Y/E 2020 31 Dec 2020,13642.89,5319.01,7856.3,2500.0,5981.28,78.85,1533.06,0.61,15.78,20.76,28.45,PRM
Y/E 2021 31 Dec 2021,17348.97,8238.95,8783.07,2500.0,6471.61,2.21,1402.84,0.56,12.32,16.86,23.59,PRM
9M/2022 30 Sep 2022,22075.42,11443.15,10251.54,2500.0,5901.3,78.9,1528.92,0.61,10.79,17.74,27.12,PRM
Y/E 2018 31 Dec 2018,27836.91,15141.45,12695.42,1559.29,4970.12,19.07,456.2,0.29,4.53,3.65,9.18,PSL
Y/E 2019 31 Dec 2019,25060.55,13501.5,11559.01,1559.29,4182.65,14.19,-228.49,-0.15,1.81,-1.88,-5.46,PSL
Y/E 2020 31 Dec 2020,21396.85,11262.56,10134.26,1559.29,3739.07,8.06,-1294.86,-0.83,-2.98,-11.94,-34.63,PSL
Y/E 2021 31 Dec 2021,23530.5,9165.49,14364.98,1559.29,8814.29,22.8,4474.93,2.87,21.78,36.53,50.77,PSL
9M/2022 30 Sep 2022,27226.83,8981.81,18244.97,1559.29,7472.35,18.66,4301.61,2.76,25.41,38.17,57.57,PSL
Y/E 2018 31 Dec 2018,18296.09,9887.67,8400.79,828.75,11982.17,311.58,-357.74,-0.43,-0.55,-4.13,-2.97,RCL
Y/E 2019 31 Dec 2019,17037.59,9632.22,7400.35,828.75,16566.18,222.0,-491.75,-0.59,-0.89,-6.22,-2.98,RCL
Y/E 2020 31 Dec 2020,17989.31,8915.48,9067.86,828.75,17254.7,179.32,1744.79,2.1,11.56,21.19,10.12,RCL
Y/E 2021 31 Dec 2021,38713.28,12800.22,25905.66,828.75,38007.26,216.63,17972.75,21.69,64.17,102.78,47.3,RCL
9M/2022 30 Sep 2022,62217.36,13139.8,49073.74,828.75,42402.03,963.9,22008.77,26.56,66.46,88.35,51.92,RCL
Y/E 2019 30 Sep 2019,54345.87,14.72,-,-,2054.00,8354.02,-,-,-,-,-,TFFIF
Y/E 2020 30 Sep 2020,53708.43,12.32,-,-,1917.21,-258.83,-,-,-,-,-,TFFIF
Y/E 2021 30 Sep 2021,53214.98,31.07,-,-,1549.53,-30.06,-,-,-,-,-,TFFIF
Y/E 2022 30 Sep 2022,53533.37,14.30,-,-,1797.04,172.11,-,-,-,-,-,TFFIF
Y/E 2018 31 Dec 2018,268721.2,248264.86,20329.04,21827.72,199675.09,388.02,-11625.17,-5.33,-2.58,-44.51,-5.79,THAI
Y/E 2019 31 Dec 2019,256665.15,244899.44,11659.32,21827.72,184242.01,4489.23,-12042.41,-5.52,-2.51,-75.29,-6.52,THAI
Y/E 2020 31 Dec 2020,208790.92,337455.78,-128742.49,21827.72,48636.86,-1406.20,-141170.74,-64.68,-54.96,-,-290.27,THAI
Y/E 2021 31 Dec 2021,161219.25,232469.73,-71323.11,21827.72,25339.48,56896.48,55118.21,25.25,33.42,-,217.50,THAI
9M/2022 30 Sep 2022,183288.55,265788.02,-82552.77,21827.72,73092.67,-8850.35,-11252.54,-5.16,2.55,-,-15.37,THAI
Y/E 2018 31 Dec 2018,5460.23,1878.45,3128.17,191.66,2050.98,-,164.64,0.43,5.53,5.68,9.84,TSTE
Y/E 2019 31 Dec 2019,5108.68,1418.09,3231.07,191.66,2616.22,-,165.43,0.43,5.29,5.20,7.67,TSTE
Y/E 2020 31 Dec 2020,4695.85,971.49,3264.63,191.66,2284.5,-4.78,132.72,0.35,4.38,4.09,6.89,TSTE
Y/E 2021 31 Dec 2021,5215.99,1280.18,3475.47,191.66,2043.08,7.49,149.18,0.39,4.77,4.43,8.55,TSTE
9M/2022 30 Sep 2022,5988.45,1959.56,3562.14,191.66,1916.59,-3.97,140.3,0.37,4.73,4.67,8.58,TSTE
Y/E 2018 31 Dec 2018,37111.65,12524.66,19558.91,1822.46,14231.95,401.0,210.02,0.12,1.12,1.07,-1.3,TTA
Y/E 2019 31 Dec 2019,33473.05,10874.49,18187.28,1822.47,15717.02,1012.52,562.59,0.31,2.37,2.98,1.39,TTA
Y/E 2020 31 Dec 2020,31029.23,11837.81,16153.19,1822.47,12996.62,-2122.22,-1944.6,-1.07,-9.04,-11.33,-25.92,TTA
Y/E 2021 31 Dec 2021,38947.08,14546.81,21265.66,1822.47,22681.16,80.21,3858.65,2.12,12.09,20.62,16.25,TTA
9M/2022 30 Sep 2022,45660.2,15942.21,26291.75,1822.47,22901.99,136.76,3463.23,1.9,13.72,21.55,14.93,TTA
Y/E 2018 31 Dec 2018,1419.80,462.61,823.79,325.95,1850.12,-,96.19,0.15,11.48,11.74,6.15,WICE
Y/E 2019 31 Dec 2019,1573.51,686.91,793.62,325.95,2230.88,-0.27,61.97,0.1,4.77,7.66,1.97,WICE
Y/E 2020 31 Dec 2020,2045.5,1069.9,877.04,325.95,4005.96,-1.76,201.08,0.31,18.43,24.07,6.87,WICE
Y/E 2021 31 Dec 2021,3495.44,1993.37,1297.75,325.95,7669.67,2.03,535.53,0.82,28.28,49.25,8.09,WICE
9M/2022 30 Sep 2022,3508.05,1666.02,1608.91,325.95,5853.35,0.96,458.04,0.7,26.94,46.79,8.52,WICE
Y/E 2018 31 Dec 2018,64798.36,47118.26,17567.42,4554.64,113194.16,173.18,321.64,0.07,1.96,1.78,0.2,CCET
Y/E 2019 31 Dec 2019,54461.74,38332.62,16066.79,4554.64,102883.91,16.76,392.8,0.09,2.31,2.34,0.34,CCET
Y/E 2020 31 Dec 2020,64071.21,48004.31,15858.1,4554.64,104880.65,142.91,209.61,0.05,1.93,1.31,0.22,CCET
Y/E 2021 31 Dec 2021,80849.56,62853.57,17830.35,4959.74,127046.75,-550.28,272.95,0.06,1.95,1.62,0.28,CCET
9M/2022 30 Sep 2022,110653.06,90676.03,19775.69,5385.2,127171.55,99.86,666.42,0.12,1.9,1.96,0.53,CCET
Y/E 2018 31 Dec 2018,48200.69,14259.77,33936.5,1247.38,53708.01,229.23,5137.03,4.12,11.33,15.47,9.55,DELTA
Y/E 2019 31 Dec 2019,45958.29,12951.94,33010.22,1247.38,51838.37,58.3,2959.96,2.37,6.31,8.84,5.69,DELTA
Y/E 2020 31 Dec 2020,57218.93,19611.5,37611.74,1247.38,63826.88,353.7,7101.64,5.69,14.07,20.11,11.05,DELTA
Y/E 2021 31 Dec 2021,69338.37,27934.07,41404.3,1247.38,84814.62,1017.82,6699.01,5.37,10.75,16.96,7.9,DELTA
9M/2022 30 Sep 2022,86562.79,35089.02,51473.77,1247.38,84712.65,760.59,11153.59,8.94,17.6,29.08,13.17,DELTA
Y/E 2018 31 Dec 2018,25368.31,4285.18,21083.13,804.88,22837.72,15.13,2375.22,2.95,10.14,11.37,10.4,HANA
Y/E 2019 31 Dec 2019,24426.18,3880.57,20545.62,804.88,20915.93,334.34,1804.58,2.24,7.74,8.67,8.63,HANA
Y/E 2020 31 Dec 2020,25180.13,3566.52,21613.61,804.88,19672.68,135.71,1907.74,2.37,7.41,9.05,9.7,HANA
Y/E 2021 31 Dec 2021,27852.97,4794.87,23058.09,804.88,24137.0,-159.81,1545.31,1.92,6.05,6.92,6.4,HANA
9M/2022 30 Sep 2022,30176.03,6378.19,23797.84,804.88,20380.93,-609.56,1026.59,1.28,3.6,4.07,5.04,HANA
Y/E 2018 31 Dec 2018,18121.01,6113.9,11950.81,586.4,14325.94,22.21,2014.87,1.72,12.19,17.38,14.2,KCE
Y/E 2019 31 Dec 2019,16501.0,4739.06,11712.33,586.4,12288.69,19.17,934.49,0.8,6.07,7.9,7.73,KCE
Y/E 2020 31 Dec 2020,17377.04,5315.02,12009.88,589.03,11741.86,9.84,1126.79,0.96,7.6,9.5,9.73,KCE
Y/E 2021 31 Dec 2021,21950.73,8508.64,13380.41,590.79,15329.77,17.41,2426.28,2.06,13.86,19.11,16.05,KCE
9M/2022 30 Sep 2022,21641.34,8714.44,12876.62,590.94,14116.75,14.4,1816.92,1.54,13.24,19.71,13.04,KCE
Y/E 2018 30 Sep 2018,8047.63,2075.22,5972.41,208.98,13601.55,20.43,152.64,7.3,2.36,2.55,1.12,METCO
Y/E 2019 30 Sep 2019,7168.15,1707.02,5461.13,208.98,11116.17,4.85,-198.05,-9.48,-2.3,-3.46,-1.78,METCO
Y/E 2020 30 Sep 2020,7858.95,2327.06,5531.89,208.98,11705.38,62.61,250.19,11.97,3.79,4.55,2.14,METCO
Y/E 2021 30 Sep 2021,8594.89,2622.52,5972.37,208.98,17154.15,-,641.78,30.71,9.32,11.16,3.74,METCO
Y/E 2022 30 Sep 2022,9837.08,3424.38,6412.7,208.98,18705.05,-5.34,704.64,33.72,10.06,11.38,3.77,METCO
Y/E 2018 31 Dec 2018,784.29,291.08,415.56,232.01,669.44,-,-55.76,-0.24,-7.08,-12.57,-7.04,NEX
Y/E 2019 31 Dec 2019,928.64,362.82,486.34,464.01,798.52,-,-146.66,-0.50,-13.62,-32.52,-17.71,NEX
Y/E 2020 31 Dec 2020,3617.29,451.66,2961.45,1674.45,1420.8,11.18,-213.59,-0.15,-7.76,-12.39,-14.1,NEX
Y/E 2021 31 Dec 2021,3913.04,843.06,2858.62,1674.45,688.07,-7.87,-106.87,-0.06,-3.08,-3.67,-13.82,NEX
9M/2022 30 Sep 2022,5115.18,2158.3,2744.4,1674.45,1768.31,-64.55,-114.23,-0.07,-2.72,-4.65,-4.87,NEX
Y/E 2018 31 Dec 2018,2920.51,1618.56,1297.88,836.48,1806.97,4.35,70.42,0.08,4.58,5.59,3.98,SMT
Y/E 2019 31 Dec 2019,2795.82,1550.66,1243.61,836.48,1810.44,8.9,-39.37,-0.05,0.34,-3.1,-2.31,SMT
Y/E 2020 31 Dec 2020,2627.58,1298.99,1325.0,836.48,1945.16,2.44,81.39,0.1,4.47,6.34,4.29,SMT
Y/E 2021 31 Dec 2021,2764.01,1185.29,1574.34,836.49,2239.94,-,209.70,0.25,7.46,14.47,9.38,SMT
9M/2022 30 Sep 2022,2786.17,1011.40,1769.41,841.71,2155.21,-,230.71,0.27,10.72,16.92,10.75,SMT
Y/E 2018 31 Dec 2018,12904.89,5264.39,7640.5,2265.75,15728.68,63.25,802.86,0.37,7.25,10.79,5.1,SVI
Y/E 2019 31 Dec 2019,11333.38,7866.49,3466.89,2266.75,15167.17,29.59,371.69,0.17,3.94,6.69,2.45,SVI
Y/E 2020 31 Dec 2020,10645.47,6607.06,4038.41,2266.75,15370.1,168.27,686.49,0.32,7.87,18.29,4.47,SVI
Y/E 2021 31 Dec 2021,15067.98,9863.2,5204.78,2170.62,17482.58,81.85,1407.62,0.65,11.62,30.46,8.05,SVI
9M/2022 30 Sep 2022,18935.94,12962.74,5964.0,2170.62,18834.35,207.87,1281.89,0.59,12.31,35.01,6.81,SVI
Y/E 2018 31 Dec 2018,1767.44,984.14,783.29,637.06,1925.18,-9.39,14.66,0.02,1.43,1.97,0.76,TEAM
Y/E 2019 31 Dec 2019,1478.94,687.86,791.08,637.06,2169.85,9.67,7.6,0.01,0.43,0.97,0.35,TEAM
Y/E 2020 31 Dec 2020,1418.05,642.31,775.74,637.06,1885.31,8.32,-16.18,-0.03,-0.99,-2.07,-0.86,TEAM
Y/E 2021 31 Dec 2021,1860.42,908.12,952.31,637.06,2517.07,-0.83,202.67,0.32,12.45,23.46,8.05,TEAM
9M/2022 30 Sep 2022,2196.88,1149.31,1047.57,637.06,2239.57,-0.83,197.3,0.31,12.37,24.81,8.81,TEAM
Y/E 2018 31 Dec 2018,290504.99,232836.4,57521.04,2973.1,170716.67,-4.34,29682.18,9.98,14.2,55.05,17.41,ADVANC
Y/E 2019 31 Dec 2019,289669.12,220274.95,69266.1,2973.18,181740.18,222.54,31189.57,10.49,14.54,49.2,17.16,ADVANC
Y/E 2020 31 Dec 2020,350170.58,274481.21,75563.98,2973.55,173720.31,69.89,27434.36,9.23,12.02,37.88,15.79,ADVANC
Y/E 2021 31 Dec 2021,356221.74,274397.22,81698.75,2973.93,182605.54,-786.32,26922.15,9.05,10.91,34.24,14.74,ADVANC
9M/2022 30 Sep 2022,345370.17,267156.57,78086.71,2974.21,137383.79,-639.42,18647.99,6.27,10.47,33.39,13.58,ADVANC
Y/E 2018 31 Dec 2018,4272.79,1528.12,2744.66,1031.6,4237.63,-38.56,236.83,1.15,6.7,8.43,5.59,AIT
Y/E 2019 31 Dec 2019,5728.61,2842.74,2885.88,1031.6,7076.68,-28.55,392.09,1.9,10.31,13.93,5.54,AIT
Y/E 2020 31 Dec 2020,6429.18,3503.96,2925.22,1031.6,6730.97,-7.32,394.27,1.91,8.35,13.57,5.86,AIT
Y/E 2021 31 Dec 2021,5752.11,2690.87,3061.24,1031.6,7034.75,-5.86,527.12,0.51,11.1,17.61,7.49,AIT
9M/2022 30 Sep 2022,6246.88,2620.29,3626.59,1031.60,4997.48,-,430.53,0.42,11.16,17.85,8.61,AIT
Y/E 2018 31 Dec 2018,3337.74,1813.75,1523.82,508.0,891.57,-24.44,-286.28,-0.28,-7.66,-17.22,-32.11,ALT
Y/E 2019 31 Dec 2019,2875.08,1460.32,1414.61,509.5,955.59,-18.85,-132.88,-0.13,-2.96,-9.04,-13.91,ALT
Y/E 2020 31 Dec 2020,3201.6,1370.57,1830.33,566.11,2092.95,4.3,267.43,0.26,13.02,16.48,12.89,ALT
Y/E 2021 31 Dec 2021,2680.21,984.72,1695.25,566.11,1100.06,-4.6,-133.27,-0.12,-3.93,-7.56,-12.12,ALT
9M/2022 30 Sep 2022,3225.3,1507.24,1717.84,566.11,842.21,8.06,22.4,0.02,-0.77,-2.63,2.66,ALT
Y/E 2020 31 Dec 2020,1593.56,1080.35,513.21,225.0,2584.07,-1.22,247.55,226.65,19.5,48.24,9.58,AMR
Y/E 2021 31 Dec 2021,2160.74,729.41,1431.33,300.0,1615.42,-6.42,178.8,0.3,12.02,18.39,11.07,AMR
9M/2022 30 Sep 2022,2105.51,659.04,1446.47,300.0,1064.08,1.49,63.14,0.11,5.46,6.52,5.93,AMR
Y/E 2018 31 Dec 2018,1799.39,163.36,1636.03,3437.6,343.06,39.75,73.03,0.01,4.08,4.45,21.29,BLISS
Y/E 2019 31 Dec 2019,2404.37,965.27,1439.1,3437.6,1126.02,-243.74,-195.91,-0.03,-8.91,-12.74,-17.4,BLISS
Y/E 2020 31 Dec 2020,1930.24,1395.33,534.91,3437.6,932.07,-5.33,-904.18,-0.13,-40.31,-91.61,-97.01,BLISS
Y/E 2021 31 Dec 2021,1482.25,702.44,779.81,16115.26,290.02,-1.07,-262.85,-0.02,-13.77,-39.99,-90.63,BLISS
9M/2022 30 Sep 2022,1221.67,492.21,729.46,16115.26,204.87,-0.4,-48.17,0.0,-5.6,-11.68,-23.51,BLISS
Y/E 2018 31 Dec 2018,182273.33,36203.74,-,-,10490.56,1387.19,-,-,-,-,-,DIF
Y/E 2019 31 Dec 2019,210743.57,37997.56,-,-,12975.37,10597.27,-,-,-,-,-,DIF
Y/E 2020 31 Dec 2020,222984.48,48557.36,-,-,14706.49,1018.14,-,-,-,-,-,DIF
Y/E 2021 31 Dec 2021,223885.83,47669.70,-,-,14741.70,218.66,-,-,-,-,-,DIF
9M/2022 30 Sep 2022,223787.93,47239.25,-,-,10816.54,-660.07,-,-,-,-,-,DIF
Y/E 2018 31 Dec 2018,150957.66,129027.98,21929.06,4735.62,75539.25,-5.32,-4368.69,-1.85,-3.35,-17.08,-5.78,DTAC
Y/E 2019 31 Dec 2019,167338.82,142372.4,24966.41,4735.62,81228.2,-23.97,5421.89,2.29,6.07,23.12,6.67,DTAC
Y/E 2020 31 Dec 2020,174280.39,149964.96,24315.42,4735.62,78883.4,317.97,5107.12,2.16,5.16,20.73,6.47,DTAC
Y/E 2021 31 Dec 2021,164314.65,144147.17,20167.48,4735.62,81458.06,-148.62,3355.93,1.42,4.0,15.09,4.12,DTAC
9M/2022 30 Sep 2022,157189.26,139302.23,17887.03,4735.62,60141.27,-32.72,2218.27,0.94,3.51,12.61,3.69,DTAC
Y/E 2021 31 Dec 2021,800.71,277.91,527.22,450.00,591.53,-,78.45,0.14,12.88,14.88,13.06,DTCENT
9M/2022 30 Sep 2022,830.63,257.29,577.76,450.00,479.72,-,52.39,0.06,11.78,12.49,10.92,DTCENT
Y/E 2018 31 Dec 2018,8870.37,6363.88,1684.88,480.0,8077.23,8.41,526.15,0.55,12.72,29.4,10.15,FORTH
Y/E 2019 31 Dec 2019,7617.02,5170.93,1506.85,480.0,6803.85,-1.65,331.36,0.35,9.73,20.76,8.9,FORTH
Y/E 2020 31 Dec 2020,7822.37,5594.16,1292.39,480.0,7082.6,-12.32,438.84,0.47,10.77,31.35,9.12,FORTH
Y/E 2021 31 Dec 2021,8817.62,6198.9,1702.83,480.0,8812.73,39.11,722.76,0.77,13.99,48.26,10.16,FORTH
9M/2022 30 Sep 2022,10541.43,7503.03,1930.06,480.0,7183.35,14.23,618.58,0.66,14.67,46.87,11.52,FORTH
Y/E 2018 31 Dec 2018,1225.98,106.34,1119.64,340.00,523.23,-,121.91,0.18,11.78,11.27,23.30,HUMAN
Y/E 2019 31 Dec 2019,1372.78,175.59,1197.19,340.0,613.86,1.93,146.98,0.22,12.52,12.69,23.94,HUMAN
Y/E 2020 31 Dec 2020,1591.65,324.8,1265.62,340.0,740.35,0.93,165.75,0.24,13.23,13.46,22.27,HUMAN
Y/E 2021 31 Dec 2021,1770.01,332.39,1432.02,340.0,770.49,0.01,169.82,0.25,11.62,12.59,21.46,HUMAN
9M/2022 30 Sep 2022,3913.29,534.26,3372.67,433.72,738.48,-12.72,105.88,0.14,6.12,6.27,14.13,HUMAN
Y/E 2018 31 Dec 2018,9466.7,6011.09,2797.29,543.63,5369.87,-17.19,260.95,0.48,5.94,9.72,5.86,ILINK
Y/E 2019 31 Dec 2019,10855.29,7384.46,2745.87,543.63,5662.29,-138.24,124.39,0.23,3.82,4.49,3.45,ILINK
Y/E 2020 31 Dec 2020,10049.59,6406.41,2846.08,543.63,5200.21,168.45,195.89,0.36,4.95,7.01,5.18,ILINK
Y/E 2021 31 Dec 2021,11344.32,6478.96,3401.88,543.63,6109.97,-12.23,353.11,0.7,7.09,11.3,7.65,ILINK
9M/2022 30 Sep 2022,12738.22,7342.58,3534.28,543.63,4862.45,8.35,261.46,0.48,7.04,11.27,7.45,ILINK
Y/E 2018 31 Dec 2018,5204.83,3382.16,1820.71,500.04,1534.56,137.58,172.86,0.35,5.26,9.31,9.97,INET
Y/E 2019 31 Dec 2019,6377.15,4481.3,1893.93,500.04,1899.99,117.48,169.21,0.34,5.08,9.11,8.9,INET
Y/E 2020 31 Dec 2020,7284.04,5293.58,1990.54,500.04,1846.48,90.11,102.46,0.2,4.56,5.28,5.44,INET
Y/E 2021 31 Dec 2021,9945.08,7784.95,2160.13,500.04,1887.11,142.9,162.89,0.33,5.52,7.85,8.64,INET
9M/2022 30 Sep 2022,10728.5,8494.31,2230.31,500.04,1509.81,53.55,93.32,0.19,6.59,5.94,6.13,INET
Y/E 2018 31 Dec 2018,606.73,247.51,359.22,207.00,1007.13,-,94.56,54.68,19.86,26.32,9.39,INSET
Y/E 2019 31 Dec 2019,1044.63,264.32,780.31,280.00,1219.97,-,120.12,0.27,18.00,21.08,9.85,INSET
Y/E 2020 31 Dec 2020,1331.94,492.80,839.14,280.00,1504.07,-,135.49,0.24,14.34,16.73,9.01,INSET
Y/E 2021 31 Dec 2021,1216.16,251.84,964.32,308.00,1316.44,-,170.54,0.28,16.80,18.91,12.95,INSET
9M/2022 30 Sep 2022,1587.64,389.60,1198.04,365.74,1090.44,-,99.33,0.14,11.12,13.10,9.11,INSET
Y/E 2018 31 Dec 2018,50009.18,12067.86,30768.3,3206.42,6669.9,13734.59,11490.68,3.58,23.25,38.51,174.68,INTUCH
Y/E 2019 31 Dec 2019,49534.54,9085.5,34525.17,3206.42,5296.9,12105.74,11083.01,3.46,20.93,33.95,184.37,INTUCH
Y/E 2020 31 Dec 2020,52636.61,8495.84,38063.61,3206.51,4571.97,11049.11,11047.65,3.45,22.84,30.44,248.33,INTUCH
Y/E 2021 31 Dec 2021,53983.6,7282.72,40686.76,3206.6,3735.01,10990.91,10748.22,3.35,20.79,27.3,290.16,INTUCH
9M/2022 30 Sep 2022,51093.15,7588.63,37633.29,3206.69,2374.21,7809.57,7651.64,2.39,20.63,27.13,334.32,INTUCH
Y/E 2018 31 Dec 2018,5415.44,3817.07,1598.37,500.0,1611.36,-17.19,133.0,0.13,5.49,8.56,8.25,ITEL
Y/E 2019 31 Dec 2019,6621.87,4910.17,1711.7,500.0,2346.59,-10.09,181.0,0.18,5.97,10.94,7.71,ITEL
Y/E 2020 31 Dec 2020,7078.92,5186.2,1892.72,500.0,2058.89,-7.32,183.73,0.18,5.64,10.19,8.92,ITEL
Y/E 2021 31 Dec 2021,8084.27,5175.43,2908.84,623.58,2509.18,-5.86,250.79,0.23,6.11,10.45,9.99,ITEL
9M/2022 30 Sep 2022,9244.88,5821.0,3351.51,657.17,2219.55,-2.72,174.75,0.14,6.09,8.75,8.35,ITEL
Y/E 2018 31 Dec 2018,52890.31,34514.19,17330.29,3992.48,18445.57,4597.5,4912.59,0.63,11.95,31.78,26.73,JAS
Y/E 2019 31 Dec 2019,69873.68,48689.51,20152.12,4082.67,18601.19,17009.54,7264.61,0.9,28.37,38.76,39.1,JAS
Y/E 2020 31 Dec 2020,99747.41,94791.36,3914.61,4296.41,19204.75,1016.95,-3125.75,-0.37,1.4,-25.98,-16.21,JAS
Y/E 2021 31 Dec 2021,95634.54,90033.99,4436.58,4296.41,20372.96,896.55,-1500.7,-0.17,2.87,-35.94,-6.79,JAS
